name,lat,lon,type,opening_hours
Aaz Baker's,23.7565,90.364182,shop_bakery,Mo-Su 08:00-22:00
"Ababil Academy, School",24.157929,90.425973,school,
Ababil Digital Colour Lab,23.732982,90.415244,shop_photo_studio,
Abacus,23.746611,90.370792,restaurant,
Abacus Thai and Chinese Restaurant,23.778922,90.416849,restaurant,
Abadi Highway Restaurant,23.652613,90.578651,restaurant,
Abbas & Sons আব্বাস এন্ড সন্স,23.846695,90.249109,shop_convenience,
Abbas Hair Salon,23.890473,90.271801,shop_hairdresser,
"Abbas Hotel, Dhaka",23.835602,90.376845,restaurant,
Abbas Tailors & fabrics,23.780518,90.433168,shop_tailor,
"Abdul Ali Filling Station, Gas station",24.008871,90.332918,fuel,
Abdul Halim Hairdresser Saloon,23.784206,90.411607,shop_hairdresser,
Abdul Hamid Building আব্দুল হামিদ ভবন,24.440551,90.774284,college,
Abdul Haque Center,23.785043,90.412044,shop_general,
Abdul Jalil Academy,23.813131,89.786676,school,
Abdul Jalil Hotel,23.844684,90.388776,restaurant,
Abdul Kader Pharmacy,23.70415,90.42236,pharmacy,
Abdul Kadir Mollah City College,23.925539,90.699695,college,
Abdul Kaiyum General Store,23.844652,90.388159,shop_yes,
Abdul Karim Vila,23.707157,90.420172,shop_general,
Abdul Kayum General Store,23.711095,90.424321,shop_yes,
Abdul Makel Master Kindergarten And High School,24.200966,90.421258,school,
"Abdul Mazid Bhuiyan Mahila Alim Madrasah, School",24.539953,89.992363,school,
Abdul Rahman,23.69727,90.423191,shop_furniture,
Abdul Zabbar & Sons,23.717215,90.406842,shop_hardware,"Mo, We-Su 09:00-21:00"
Abdul karim kobiraj,23.783445,90.411149,pharmacy,
"Abdul khalek Market, Market",24.259946,90.397756,marketplace,
Abdulla Bekary,23.215175,89.697097,shop_bakery,
Abdulla Pharmacy,23.796793,90.377145,pharmacy,
Abdullah & Masum Store,23.71967,90.49391,shop_yes,
Abdullah Al Zakir Filling Station,23.697747,90.534452,fuel,
Abdullah Biriani House,23.710375,90.424097,restaurant,
"Abdullah Biriyani House Restaurant, Keraniganj, Dhaka",23.695225,90.399151,restaurant,
Abdullah Chicken Shop,23.733847,90.382996,shop_butcher,
Abdullah Cycle Store,23.718221,90.407123,shop_bicycle,Mo-Su 09:00-23:00
Abdullah Drug House,23.817324,90.353833,pharmacy,
Abdullah Electronics,23.742084,90.392134,shop_electronics,"Mo,We-Su 10:00-20:00; Tu off"
Abdullah Electronics House,23.758924,90.413721,shop_electronics,
"Abdullah Esteel And Walksp, Homeopathic pharmacy",24.467709,89.87446,pharmacy,
Abdullah Fashion,23.811864,90.369765,shop_clothes,
Abdullah Fastfood and Confectionery,23.798268,90.387102,shop_confectionery,
Abdullah Hairstyles,23.850237,90.387674,shop_hairdresser,
Abdullah Pharmacy (আব্দুল্লাহ ফার্মেসি),23.771557,90.346646,pharmacy,
"Abdullah Pur Wood Market, Dhaka - Mawa Hwy, Kalakandi",23.659696,90.355639,marketplace,
Abdullah Store,24.126295,90.370993,shop_yes,
Abdullah Traders,23.717344,90.406261,shop_bicycle,Mo-Su 10:00-20:00
Abdullah Unani Pharmacy,23.977383,90.38155,pharmacy,
Abdullah auto,23.88384,90.261493,shop_car_parts,
Abdullah cafe,23.704074,90.420413,cafe,
Abdullah pharmacy,23.860616,90.26018,pharmacy,
Abdullah shoes,23.986722,90.225851,shop_yes,
"Abdullahpur Bus Station, Gas station",23.880074,90.400776,fuel,
"Abdullahpur Bus stop, Dhaka - Mawa Hwy, Kalakandi",23.660639,90.358592,bus_station,
"Abdullahpur Government Primary School, Dhaka - Mawa Hwy, Kalakandi",23.660929,90.360152,school,
"Abdullahpur Police Post, Uttara",23.879692,90.401484,police,
"Abdullahpur Uposhakha, IFIC Bank Limited, Kalakandi",23.660124,90.360849,bank,
"Abdullahpur, Keraniganj, Dhaka - Mawa Hwy, Kalakandi",23.66026,90.359678,marketplace,
"Abdur Rahim Biriyani House, Chinkutia Chowrasta, South Keraniganj, Dhaka",23.695049,90.398679,restaurant,
Abdur Rahman Ideal School,23.911918,90.304158,school,
Abdur Rajjak High School,23.347111,90.302685,school,
Abdur Rashid Mia High School,23.372333,90.032306,school,
"Abed Ali Girls School And College, Girls high school",24.200499,90.421607,school,
Abedin & Sons আবেদীন এন্ড সন্স,23.847049,90.254682,shop_yes,
Abedin Hospital (Pvt.),24.055771,90.974794,hospital,
Abedin Hospital (Pvt.),24.055771,90.974792,hospital,
Abedin Pharma,23.75686,90.361293,pharmacy,
Abedin Tailors and Fabrics,23.806935,90.369984,shop_clothes,
Abeer General Hospital,23.748029,90.398816,hospital,
Abesh Hotel,23.820041,90.365263,restaurant,
Abesh Hotel and Restaurant (Branch- 02),23.828903,90.364393,restaurant,24/7
Abian Sky Shop Super Fitness and Sports,23.807211,90.361814,shop_sports,
Abid Enterprise,23.730596,90.416306,shop_trade,
Abid General Store,23.795305,90.352065,shop_general,
Abid Gents' Parlour,23.811945,90.369091,shop_beauty,Tu-Su 09:00-23:00; Mo off
Abid Trade,23.721953,90.40572,shop_gift,"Mo, We-Su 09:00-12:00"
"Abid telecom, Cell phone store",24.056793,89.873346,shop_mobile_phone,
Ability Based Accelerated Learning Centre,23.784799,90.412324,school,
Ability Based Accelerated Learning Centre,23.784785,90.412323,school,
Ability Based Accelerated Learning Centre,23.78227,90.411429,school,
Abir,23.213878,89.709487,shop_computer,
